venue1,venue2,distance
0,4772,0.9009386018924496
0,7077,2.15754686425303
0,785,1.0977022537109795
0,23694,1.8964071692120912
0,5236,1.168277400001093
0,6614,1.457013296598264
0,8474,2.0508400078424667
0,26310,1.2878445919856754
0,33737,2.0617393757029383
1,2538,1.808388827161571
1,21127,1.4325081242524118
1,7444,2.225426415193511
1,14590,1.9913647838527493
1,20654,1.8249759440723052
1,2539,2.207438027897627
3,16400,2.453978387711232
3,2646,1.5474506798387442
3,38188,1.4131694476731729
3,36945,2.1019065103012453
4,3564,1.9623950683673463
4,9655,1.1352842590623933
4,8414,1.9936746047647764
4,5528,0.2838722657902209
4,4565,0.4854993188559726
4,12,2.185403519287381
4,19887,2.2651875006913342
4,17813,2.3769496145246007
4,1842,0.8780553114394829
4,5201,2.0143762787168344
4,16,1.3430353943374276
4,27433,1.6853076683048658
5,831,1.1406479320413885
5,820,1.0153883612154004
5,4570,1.1204936003291242
5,37523,1.432580789382397
5,22251,2.395584128709722
5,25303,1.4587469905505877
5,20738,0.3893535249035294
5,24297,2.1221590954766785
5,27528,1.7980975510774526
5,5287,0.9215590920237416
5,30865,1.3239237193249598
5,8647,2.4391274497772417
5,1016,0.9158389450013874
6,492,0.4882473344787219
6,7697,1.6030570343354102
6,10186,1.2118040730052977
6,86,1.8941639360567943
6,20817,2.464545683822457
7,35954,1.2800232216482124
7,26271,0.3357464574636036
7,36193,1.464660119540828
7,34821,1.4564829504990664
7,26505,1.894048412216503
7,9334,2.458387259999217
7,24158,1.033216574392663
7,2243,1.5220096668269043
7,1058,2.440702783422155
7,957,2.477318509132511
7,3227,1.9555913853010425
8,2366,1.2672201869908064
8,33,1.8427684990836013
8,8811,2.0097799965780445
8,4771,1.7236386763538678
8,12420,1.306783997926752
10,17794,1.7255223509631048
10,23728,1.830379526490104
11,5616,0.4676022201584453
11,29174,0.4808648684173963
11,23141,1.7108074671009514
11,2566,2.025406055832154
12,2022,1.3778756199784703
12,3564,0.4168125381336112
12,9655,2.010135154932577
12,4,2.185403519287381
12,8414,2.1489839898734733
12,5528,2.462081284930573
12,4565,1.949720794629353
12,12033,1.6510337421308896
12,17813,0.3688771254012732
12,1842,1.3312103748508013
12,5201,1.061287220636466
12,16,0.8904018365721761
13,1915,2.346698929798262
13,260,2.373627717279447
13,103,2.35785041360853
13,26861,1.986000862723693
13,1124,0.3683807684205925
13,1061,0.6648010285117408
13,30485,1.8818905668555013
13,759,0.7511986977382488
14,1191,0.6336802079961894
14,988,0.4778904927156258
14,34714,1.824201103169784
14,13465,0.4984389379419486
14,22995,1.5448664995329409
15,8152,0.8607460229102668
15,25883,0.8853057170931748
15,9422,1.142213761311912
15,5145,1.3012809633211653
15,2528,0.9833635309718424
15,34538,1.109753710182758
15,4001,1.4024597123415443
15,21081,1.3600431482037425
15,10797,1.7390002507793976
16,2022,2.2166065233538768
16,3564,0.8266330695162497
16,9655,1.1828320332511373
16,4,1.3430353943374276
16,8414,1.5759776041338578
16,5528,1.6075276256293305
16,4565,1.0613561652526349
16,12,0.8904018365721761
16,12033,2.294786220443929
16,17813,1.0353183094998784
16,1842,0.5993196241896109
16,5201,0.8678533815371723
16,27433,1.9349988101497035
17,25544,1.9016783215501971
17,2495,1.771707479954991
18,700,0.893425695606432
18,25792,1.482575471078281
18,29105,2.2940289283917585
18,8289,0.4855772077342985
18,281,1.1545756752577796
18,3738,0.4523858639617796
19,20260,2.4145790845705672
19,5981,1.0121854764422695
19,239,2.4987948871154786
20,3909,0.6008725247197334
20,27665,0.8107673184621852
23,2417,0.8615703964306008
23,1832,1.0731255291979112
23,29102,1.6001351735028209
23,756,1.38410736827495
23,36512,1.0308485597934345
23,9452,1.7279245111528454
23,752,2.4684017530708693
24,10007,1.2822908206188126
24,16660,0.95352978371515
24,2345,0.4066718822226653
24,1367,2.479235992305603
24,10289,1.0464140114393268
24,530,1.8242908399251287
25,37644,1.3119026958775717
25,100,2.2201148695997204
25,839,1.4710167104225724
25,7600,0.4536096569169988
25,35951,0.8922920445096832
25,2309,0.7378208247603705
25,36988,2.1866853470374306
25,33672,1.1267914831876802
25,36977,1.745203420094482
25,753,2.084289799906537
25,36466,2.0362577771159747
26,335,1.6179399767804552
28,12096,2.112059503505529
29,29615,0.9461658989044044
29,14617,1.4380225052419329
29,583,0.7270524406447919
29,3814,2.3290450654653685
30,4330,1.4656841724758078
30,23972,1.5842431590637884
30,12620,0.6198146503994758
30,7382,1.1359581132595646
30,697,2.355747046903735
32,917,1.5899350678899855
32,5188,0.550465770900149
32,38000,1.8420072699942391
32,6320,2.304952437718012
32,271,0.9570784165888744
32,21995,2.2078147600452898
32,12966,1.1283099360449238
32,13378,1.5772731277943235
32,19675,1.3359117330322572
32,2142,1.1954776110843277
32,33192,1.0722800236112062
32,22777,2.383099611393759
32,1564,2.441553990849166
33,22611,1.610401792282126
33,17449,1.9768690460597151
33,8,1.8427684990836013
33,12420,1.1783150414006818
34,35599,2.3931517120010444
34,23509,1.9148326403485567
35,1123,1.367899495216366
35,9200,0.9952401524162902
35,1069,1.9829706833277991
35,4627,1.346185094878493
35,833,1.1754401634041003
35,2651,0.5453324824684407
35,13066,2.1324935886458114
35,617,2.2955689366336105
35,6285,1.304395062894111
36,7055,1.5371448003896224
36,3047,0.7599184942319596
36,23291,0.8067724180750109
36,25710,1.175225208323424
36,36695,1.4499885445555387
36,1805,1.1894465992411063
36,23499,0.4401412996711063
36,15645,0.2754995445214124
